,id,type,nom,arrondissement,geo_point_2d
3028,29454,bus,Raffet,16,"48.853322678186785, 2.2618969626067376"
3029,29428,bus,Charles Bossut,12,"48.843040931709794, 2.3838981974529125"
3030,40053,bus,Pelleport - Gambetta,20,"48.868772688225384, 2.4019022286664873"
3031,27098,bus,Avenue de Saint-Mandé,12,"48.84443634358911, 2.405506279519586"
3032,40007,bus,Charles Michels,15,"48.846337997912265, 2.2861697361176274"
3033,40006,bus,Pont Mirabeau,16,"48.847005729671, 2.2730923814562005"
3034,15192,bus,Georges Brassens,15,"48.83013325935731, 2.29560042873939"
3035,463954,bus,Valenciennes,10,"48.87768180387065, 2.356191538349158"
3036,39461,bus,Pixérécourt,20,"48.87520750996718, 2.395652080504792"
3037,39798,bus,Gare de Lyon,12,"48.84388545906027, 2.373341728002413"
3038,37224,bus,Pont de Tolbiac,13,"48.83190153053196, 2.379398094583422"
3039,25384,bus,La Fontaine - Radio France,16,"48.85209018576151, 2.2735938397044357"
3040,25393,bus,Église d'Auteuil,16,"48.8479654594401, 2.2697130819007243"
3041,25408,bus,Victor Hugo - Paul Valéry,16,"48.87139389806946, 2.289166517508687"
3042,37574,bus,Julien Lacroix,20,"48.868058397993245, 2.3869285845253834"
3043,37547,bus,Beaumarchais,11,"48.85705336029085, 2.368467580678241"
3044,25537,bus,Lamballe - Ankara,16,"48.854143562103, 2.2830099584256294"
3045,23332,bus,Brancion,15,"48.828872053512455, 2.301379636143503"
3046,23503,bus,Foch,16,"48.87204269220689, 2.284849493205498"
3047,23518,bus,Pont du Garigliano - Hôpital Européen Georges Pompidou,15,"48.8386508937637, 2.2701896585253234"
3048,23499,bus,Victor Hugo - Poincaré,16,"48.87022884916764, 2.2853242845206934"
3049,23616,bus,René Coty,14,"48.827413132997115, 2.335766813807887"
3050,463788,bus,Pelleport - Belleville,20,"48.87491267898723, 2.397823314378401"
3051,463707,bus,Gambetta - Japon,20,"48.86540661082853, 2.3995962481831716"
3052,28258,bus,Jules Ferry,10,"48.86917092343687, 2.3674072878150105"
3053,28223,bus,Moulin de la Pointe,13,"48.82206909193901, 2.356837388450311"
3054,28686,bus,Alésia - Didot,14,"48.83073946312822, 2.3195271749996222"
3055,26299,bus,Bréguet - Sabin,11,"48.85441809231923, 2.371852184949241"
3056,24014,bus,Porte de France,13,"48.82745204172263, 2.379859710888232"
3057,24020,bus,Brancion - Morillons,15,"48.83226076085097, 2.3025875394058395"
3058,24267,bus,Fondary,15,"48.84545528914693, 2.298105002698981"
3059,22323,bus,Buffon - La Mosquée,5,"48.841804861023576, 2.3558308210331056"
3060,22771,bus,Montaigne - François 1er,8,"48.86715330027868, 2.306768964916831"
3061,27326,bus,Haussmann - Miromesnil,8,"48.8752925473562, 2.3130414686759737"
3062,27324,bus,Balzac,8,"48.87441995814976, 2.3021184769440843"
3063,25095,bus,Marceau - Pierre 1er de Serbie - Place de Beyrouth,8,"48.86770460086811, 2.2995092501032057"
3064,39797,bus,Réaumur - Sébastopol,2,"48.8664833185423, 2.350877180525527"
3065,25296,bus,Monge - Claude Bernard,5,"48.83859015328502, 2.350107344419968"
3066,37392,bus,Marceau - Pierre 1er de Serbie - Place de Beyrouth,8,"48.867784418696566, 2.2993173243396683"
3067,37379,bus,Vauban - Hôtel des Invalides,7,"48.853915230295655, 2.311510693692434"
3068,25417,bus,Saint-Philippe-du-Roule,8,"48.87286642613179, 2.3102785728016313"
3069,23449,bus,Vaneau - Saint-Romain,6,"48.84852801715886, 2.3209437917560707"
3070,23452,bus,Monttessuy,7,"48.85890937122781, 2.2980464222070167"
