,coord_x,coord_y,valeur,qualif,val_no2,val_pm10,val_o3,val_so2,val_pm25
299,652080,6862620,6,Médiocre,2.0,4.0,6.0,1.0,0
300,652080,6862620,5,Moyen,2.0,4.0,5.0,1.0,0
301,652080,6862620,5,Moyen,1.0,4.0,5.0,1.0,0
302,652080,6862620,5,Moyen,1.0,4.0,5.0,1.0,0
303,652080,6862620,5,Moyen,1.0,5.0,5.0,1.0,0
304,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
305,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
306,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
307,652080,6862620,5,Moyen,2.0,3.0,5.0,1.0,0
308,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
309,652080,6862620,4,Bon,1.0,4.0,4.0,1.0,0
310,652080,6862620,5,Moyen,2.0,4.0,5.0,1.0,0
311,652080,6862620,6,Médiocre,2.0,4.0,6.0,1.0,0
312,652080,6862620,6,Médiocre,2.0,5.0,6.0,1.0,0
313,652080,6862620,5,Moyen,3.0,5.0,5.0,1.0,0
314,652080,6862620,5,Moyen,3.0,4.0,5.0,1.0,0
315,652080,6862620,5,Moyen,2.0,4.0,5.0,1.0,0
316,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
317,652080,6862620,5,Moyen,1.0,3.0,5.0,1.0,0
318,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
319,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
320,652080,6862620,4,Bon,2.0,3.0,4.0,1.0,0
321,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
322,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
323,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
324,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
325,652080,6862620,8,Mauvais,2.0,8.0,4.0,1.0,0
326,652080,6862620,6,Médiocre,2.0,6.0,4.0,1.0,0
327,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
328,652080,6862620,4,Bon,2.0,4.0,4.0,1.0,0
329,652080,6862620,4,Bon,1.0,3.0,4.0,1.0,0
330,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
331,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
332,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
333,652080,6862620,6,Médiocre,1.0,6.0,3.0,1.0,0
334,652080,6862620,5,Moyen,2.0,5.0,4.0,1.0,0
335,652080,6862620,6,Médiocre,3.0,6.0,4.0,1.0,0
336,652080,6862620,5,Moyen,3.0,5.0,2.0,1.0,0
337,652080,6862620,3,Bon,3.0,3.0,2.0,1.0,0
338,652080,6862620,4,Bon,3.0,3.0,4.0,1.0,0
339,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
340,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
341,652080,6862620,4,Bon,1.0,2.0,4.0,1.0,0
342,652080,6862620,3,Bon,1.0,2.0,3.0,1.0,0
343,652080,6862620,3,Bon,1.0,1.0,3.0,1.0,0
344,652080,6862620,3,Bon,2.0,3.0,3.0,1.0,0
345,652080,6862620,3,Bon,2.0,2.0,3.0,1.0,0
346,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
347,652080,6862620,3,Bon,3.0,3.0,3.0,1.0,0
