,id,arrondissement,annee_financement,nombre_logement,geo_point_2d
3355,2000699,13,2006,2,"48.83397253971125, 2.3607068024651174"
3358,2000740,14,2006,47,"48.83041001015349, 2.3378104293933712"
3360,2000742,10,2006,11,"48.87531142014796, 2.351294730387703"
3361,2000787,18,2007,3,"48.892844170029896, 2.3510999544872533"
3362,2000823,10,2007,24,"48.88159100043269, 2.34984893854125"
3363,2000830,18,2007,30,"48.8906251402137, 2.343606409089877"
3364,2000844,17,2007,92,"48.89722231977175, 2.317919863423909"
3366,2000862,20,2007,3,"48.85663975031795, 2.4020591126362874"
3367,2000895,19,2007,9,"48.885547780164124, 2.3868349636213986"
3368,2000914,9,2007,9,"48.880505240028725, 2.3453588306326014"
3371,2000961,3,2007,16,"48.86528089983963, 2.3621925895515865"
3372,2000981,1,2007,25,"48.86459338026662, 2.3361918704994062"
3373,2000984,18,2007,8,"48.8868001798533, 2.3516841673197377"
3374,2000997,3,2007,4,"48.86012770037575, 2.3641475225926656"
3376,2001023,5,2008,7,"48.83805982040771, 2.351887617102803"
3377,2001040,20,2008,4,"48.87116123986526, 2.395449022413604"
3378,2001057,13,2008,77,"48.82683516028304, 2.378540529037644"
3379,2001071,20,2008,8,"48.85314048021859, 2.4034725815795897"
3380,2001078,13,2008,27,"48.822840519639506, 2.3640510695876413"
3381,2001084,15,2008,54,"48.847714389887976, 2.299600425223787"
3383,2001090,18,2008,22,"48.89786504992532, 2.3527338684855743"
3385,2001148,11,2008,40,"48.861163150144286, 2.376432671596291"
3386,2001150,13,2008,37,"48.83338932986677, 2.34455052325528"
3387,2001160,1,2008,5,"48.85997840958636, 2.3466999733929255"
3388,2001167,1,2008,5,"48.86198557011303, 2.3489365913508267"
3389,2001186,3,2008,4,"48.858678020383, 2.360982401443936"
3390,2001188,3,2008,12,"48.86267064957643, 2.3622393764092755"
3391,2001227,17,2008,74,"48.8859464502784, 2.291181163018185"
3392,2001248,10,2008,35,"48.871529239943996, 2.3713593895802743"
3393,2001258,10,2008,171,"48.88394805033069, 2.3642842021390806"
3395,2001300,13,2009,52,"48.82117659968045, 2.343165117233801"
3396,2001307,17,2009,62,"48.88981449024995, 2.3164088282491604"
3397,2001313,4,2009,20,"48.860376750264834, 2.3531751531838605"
3398,2001340,17,2009,1,"48.88709721992124, 2.2918697654647233"
3399,2001405,3,2009,11,"48.86819877971584, 2.3596231586377407"
3400,2001471,19,2009,13,"48.878229980431726, 2.3735330835791304"
3401,2001479,14,2009,67,"48.827164000003826, 2.3041656014990783"
3402,2001504,20,2009,21,"48.87156391986565, 2.378378281082757"
3403,2001522,16,2009,1,"48.83928009999748, 2.2557657104834483"
3405,2001569,10,2010,8,"48.86967476982429, 2.367079735506219"
3407,2001590,13,2010,1,"48.82064831984278, 2.343897440480612"
3411,2001764,18,2010,12,"48.89423352015164, 2.3460906016370866"
3412,2001810,19,2010,24,"48.886942739625, 2.384633589490918"
3413,2001825,6,2010,70,"48.84754611962948, 2.3221057353578365"
3415,2001912,16,2011,2,"48.84270599973366, 2.2555815704351194"
3416,2001928,13,2011,73,"48.83048344023139, 2.3441770224791485"
3417,2001944,18,2011,8,"48.89524233998318, 2.34111957156677"
3418,2001945,19,2011,93,"48.88838402008342, 2.384117130284054"
3419,2002012,13,2011,15,"48.823026939985056, 2.3730822184935856"
3420,2002021,20,2011,25,"48.87269866012119, 2.397792168278094"
3421,2002023,20,2011,1,"48.855705460139035, 2.403759275452144"
3422,2002051,9,2012,15,"48.88143032983145, 2.3488673562858295"
3423,2002060,20,2012,14,"48.866304710393855, 2.3964965793743693"
3426,2002135,17,2012,1,"48.88768165016419, 2.29759925841494"
3427,2002165,9,2012,6,"48.874241139833785, 2.342353947068647"
3428,2002173,1,2012,1,"48.862685709661875, 2.3473816479568512"
3429,2002196,12,2012,8,"48.84121171956056, 2.4016194064618985"
3430,2002226,20,2012,21,"48.8687932403867, 2.3860569606320716"
3431,2002230,11,2012,1,"48.862201419711354, 2.385080712374659"
3432,2002238,15,2012,1,"48.837639930039046, 2.3019785725075095"
3434,2002247,17,2013,25,"48.888109150401235, 2.3108583506335747"
3436,2002269,17,2013,2,"48.89301525986549, 2.3176559725881622"
3437,2002282,19,2013,132,"48.89388289994558, 2.3823872894407687"
3440,2002336,14,2013,36,"48.834897780003615, 2.324640353283326"
3441,2002348,16,2013,33,"48.86850895956612, 2.2829212772188128"
3442,2002372,3,2013,2,"48.86820262959184, 2.3573135054190204"
3443,2002375,5,2013,10,"48.853046369574386, 2.345619749592588"
3444,2002399,18,2013,15,"48.88994198967502, 2.3493826864745064"
3445,2002484,2,2014,14,"48.866744760363915, 2.3492359734207318"
3446,2002490,9,2014,34,"48.88010146973143, 2.3495681303566713"
3447,2002527,18,2014,39,"48.88465831015766, 2.3643680014018207"
3449,2002531,19,2014,110,"48.89547882960077, 2.3722160593931814"
3450,2002558,15,2014,1,"48.84395972005871, 2.2795789450606816"
3452,2002583,17,2014,6,"48.89599260958682, 2.3221243994357517"
3453,2002588,3,2014,54,"48.86803456959407, 2.360720327562955"
3454,2002598,10,2014,13,"48.870167649833654, 2.3573310876287774"
